
         designation          ra         dec  w1mpro  w2mpro  w3mpro  w4mpro           dist       angle
   J143046.82+084103.1  217.6950860    8.6842137   15.675   15.217   11.914    9.173     1123.289904   248.348812 
   J143044.54+084224.4  217.6856029    8.7067829   16.248   15.966   12.557    8.977     1128.044396   252.821503 
   J143235.69+083143.9  218.1487146    8.5288874   15.871   15.168   11.952    8.950     1128.717897   149.637116 
   J143228.17+083040.7  218.1173961    8.5113317   15.653   15.268   12.344    8.826     1134.200604   156.124977 
   J143234.72+090427.9  218.1446970    9.0744442   16.018   15.780   11.973    9.033     1135.243191    29.291186 
   J143041.38+085043.0  217.6724394    8.8452975   16.532   16.439   12.164    9.276     1136.265107   278.376402 
   J143142.97+090646.8  217.9290518    9.1130075   14.733   14.332   10.898    8.748     1148.406330   349.404049 
   J143306.39+083917.6  218.2766428    8.6549044   16.384   16.489   12.290    9.098     1149.921220   116.883659 
   J143314.12+085032.0  218.3088590    8.8422407   15.147   14.512   10.928    9.047     1150.156994    82.278402 
   J143309.41+084045.1  218.2892348    8.6792119   15.520   15.269   12.140    8.715     1154.439598   111.998317 
   J143315.32+084804.7  218.3138458    8.8013058   16.458   16.099   12.491    9.398     1157.617766    89.644441 
   J143251.43+090153.7  218.2143193    9.0315892   15.875   15.909   12.056    8.758     1159.153748    43.848950 
   J143059.61+083453.1  217.7483925    8.5814202   17.301   16.427   12.918    9.439     1160.147623   227.442949 
   J143122.96+083034.8  217.8457067    8.5096707   14.833   14.341   10.393    8.272     1160.345685   205.977710 
   J143215.73+082905.8  218.0655541    8.4849709   15.628   15.231   11.582    9.119     1164.901173   166.370393 
   J143110.85+083216.3  217.7952148    8.5378811   15.676   14.301   11.220    8.777     1166.053291   216.157252 
   J143306.56+085714.8  218.2773437    8.9541173   16.299   15.751   12.603    9.194     1168.689590    61.525086 
   J143232.00+090529.9  218.1333507    9.0916398   16.176   15.938   12.309    8.941     1171.303850    26.086562 
   J143207.20+090726.2  218.0300029    9.1239467   15.680   15.585   11.802    8.988     1177.491964     7.204127 
   J143309.13+085634.1  218.2880728    8.9428090   16.439   15.257   12.372    8.950     1184.092380    64.137258 
   J143100.28+090149.1  217.7511838    9.0303189   15.616   15.346   12.525    9.074     1184.440031   314.582294 
   J143300.93+085953.8  218.2538770    8.9982930   16.139   15.329   11.652    8.809     1184.716791    52.806500 
   J143039.50+085317.6  217.6646071    8.8882312   16.048   15.891   12.736    9.106     1195.524004   285.530942 
   J143038.74+084323.4  217.6614248    8.7231799   15.327   15.068   12.323    8.825     1195.545385   256.747722 
   J143249.31+083242.3  218.2054817    8.5451075   16.381   15.229   12.667    9.169     1197.873490   139.835610 
   J143317.23+084508.3  218.3217977    8.7523202   15.793   15.580   12.745    9.416     1198.041776    98.116177 
   J143234.93+083012.8  218.1455607    8.5035669   13.234   13.263   12.475    9.202     1203.008402   152.292540 
   J143113.28+083058.2  217.8053669    8.5161742    9.614    9.660    9.621    9.054     1210.202781   212.591476 
   J143310.46+085654.9  218.2935885    8.9486048   15.885   14.547   11.986    8.505     1210.879321    63.652696 
   J143200.27+090824.2  218.0011663    9.1400693   14.648   14.418   10.860    9.315     1227.061750     2.109254 
   J143226.47+090708.7  218.1103169    9.1191024   16.044   15.351   12.671    9.260     1229.633833    20.625200 
   J143309.00+083736.8  218.2875165    8.6269148   14.466   14.046   10.837    8.711     1232.182220   120.248018 
   J143220.68+090748.7  218.0861784    9.1302165   15.190   14.744   11.593    8.893     1240.425653    16.260778 
   J143058.54+083303.5  217.7439199    8.5509939   15.425   15.048   11.910    9.391     1247.957963   224.233837 
   J143033.26+084616.8  217.6385931    8.7713450   16.280   16.498   12.450    9.269     1248.848571   265.379706 
   J143033.74+084457.1  217.6406241    8.7491969   15.734   14.500   11.435    9.172     1250.707792   261.709715 
   J143207.09+082706.2  218.0295601    8.4517281   14.814   14.312   11.047    8.952     1260.317425   173.331480 
   J143046.91+083607.5  217.6954692    8.6020874   16.474   15.336   12.538    9.374     1261.701620   235.749526 
   J143039.88+085645.1  217.6661731    8.9458870   16.170   14.970   12.141    8.496     1261.755383   294.721144 
